admin0name,admin1name,admin2name,crop_area,flood_area,pop_sum,year
Ghana,Ashanti,Obuasi Municipal,1.5111366882324218,7.644736376953129,0.0,2008
Ghana,Ashanti,Mampong Municipal,0.088730712890625,0.088730712890625,0.0,2008
Ghana,Ashanti,Atwima Kwanwoma,0.0,2.3091756042480474,0.0,2008
Ghana,Ashanti,Kma,0.0,0.08881659545898438,0.0,2008
Ghana,Ashanti,Asante Akim Central Municipal,0.17761151123046875,1.332132409667969,0.0,2008
Ghana,Ashanti,Amansie West,4.35383899313534,15.327578740090763,0.0,2008
Ghana,Ashanti,Ahafo Ano South,0.0,0.1775399169921875,0.0,2008
Ghana,Ashanti,Ejura Sekye Dumase,0.7981029174804688,1.4187924255371094,0.0,2008
Ghana,Ashanti,Adansi South,0.9290480438830806,3.827664786353017,0.0,2008
Ghana,Ashanti,Atwima Mponua,1.5979667136517695,8.657806118594893,0.0,2008
Ghana,Ashanti,Adansi North,1.9557224304199217,46.22635912475586,27.0,2008
Ghana,Ashanti,Atwima Nwabiagya,0.3552026550292968,30.45536042607332,0.0,2008
Ghana,Ashanti,Bekwai Municipal,0.533056182861328,0.799588116455078,0.0,2008
Ghana,Ashanti,Bosomtwe / Atwima / Kwanwoma,0.0,45.48026513947125,0.0,2008
Ghana,Ashanti,Afigya Kwabre,0.0,7.360999692478554,0.0,2008
Ghana,Ashanti,Offinso North,0.0,0.0,0.0,2008
Ghana,Ashanti,Sekyere East,0.0,0.08877752075195312,0.0,2008
Ghana,Central,Cape Coast Metro,0.08905245361328125,13.804113971378088,0.0,2008
Ghana,Central,Agona East,0.6228616271972657,1.4236843566894533,0.0,2008
Ghana,Central,Upper Denkyira West,1.4228219665527342,2.489756286621094,0.0,2008
Ghana,Central,Twifo Ati-Morkwa,1.5775480122405408,156.28250807851745,13.0,2008
Ghana,Central,Awutu Senya East Municipal,2.9364286926269525,4.756211896613626,0.0,2008
Ghana,Central,Ajumako / Enyan / Esiam,0.0,10.428652227759272,0.0,2008
Ghana,Central,Gomoa West,0.8012005310058594,48.407782562399404,0.0,2008
Ghana,Central,Abura / Asebu / Kwamankese,0.0,2.4030015681726793,0.0,2008
Ghana,Central,Asikuma / Odoben / Brakwa,0.0,0.0,0.0,2008
Ghana,Central,Agona West,0.0,0.0,0.0,2008
Ghana,Central,Twifo Lower Denkyira,0.0,1.0558359607651655,0.0,2008
Ghana,Central,Upper Denkyira East,0.17786457519531249,0.8052738647460937,0.0,2008
Ghana,Central,Awutu Senya West,2.491546319580078,10.358271842615462,0.0,2008
Ghana,Central,Komenda Edna Eguafo / Abirem,0.4453024963378906,94.6702656419461,275.18823529411765,2008
Ghana,Central,Assin South,0.0,0.0,0.0,2008
Ghana,Central,Assin North,0.5741392327043122,61.94544306621479,0.0,2008
Ghana,Central,Mfantsiman,2.6711298217773445,78.9275825027045,22.0,2008
Ghana,Central,Effutu,0.5340940673828124,39.17107271886484,0.0,2008
Ghana,Central,Ekumfi,0.8903722290039062,75.02346597701714,0.0,2008
Ghana,Central,Gomoa East,0.9789483337402342,18.70149319951075,10.0,2008
Ghana,Eastern,Akwapem South,0.2667903381347656,0.3557389221191406,0.0,2008
Ghana,Eastern,Lower Manya,2.2222445495605467,167.73209054582244,2.9647058823529413,2008
Ghana,Eastern,Kwahu East,0.36566808342428764,1.8028570604511338,0.0,2008
Ghana,Eastern,Nsawam Adoagyiri,0.2668432983398437,1.4231015808105467,0.0,2008
Ghana,Eastern,Kwahu Afram Plains South,283.2738889892578,6025.242145408387,90.0,2008
