Region,Treatment,year,perc_pop
Lawra,1,2019,0.0
Lawra,1,2020,0.0
Bawku West,1,2015,0.0
Bawku West,1,2016,0.0
Bawku West,1,2017,0.0
Bawku West,1,2018,0.0
Bawku West,1,2019,0.0
Bawku West,1,2020,0.0
Ketu North,1,2015,0.0
Ketu North,1,2016,5.725573273023962e-05
Ketu North,1,2017,0.0
Ketu North,1,2018,0.0
Ketu North,1,2019,0.0
Ketu North,1,2020,0.0
Nadowli / Kaleo,1,2015,7.077641729775638e-05
Nadowli / Kaleo,1,2016,0.0
Nadowli / Kaleo,1,2017,0.0
Nadowli / Kaleo,1,2018,7.077641729775638e-05
Nadowli / Kaleo,1,2019,0.0
Nadowli / Kaleo,1,2020,0.0
Akatsi South,1,2015,0.0
Akatsi South,1,2016,0.0006809354876675018
Akatsi South,1,2017,7.565949862972242e-05
Akatsi South,1,2018,0.0
Akatsi South,1,2019,0.0
Akatsi South,1,2020,0.0
Sawla / Tuna / Kalba,1,2015,0.0
Sawla / Tuna / Kalba,1,2016,0.0
Sawla / Tuna / Kalba,1,2017,0.0
Sawla / Tuna / Kalba,1,2018,6.253452426860663e-05
Sawla / Tuna / Kalba,1,2019,0.0
Sawla / Tuna / Kalba,1,2020,0.0
Aowin,1,2015,0.0002166808111085029
Aowin,1,2016,0.0004333616222170058
Aowin,1,2017,0.0
Aowin,1,2018,0.0002527942796265868
Aowin,1,2019,0.0003069644824037125
Aowin,1,2020,0.0
Wassa Amenfi Central,1,2015,0.000358803390692042
Wassa Amenfi Central,1,2016,0.0005216719886238218
Wassa Amenfi Central,1,2017,0.00038712071711430616
Wassa Amenfi Central,1,2018,0.00038712071711430616
Wassa Amenfi Central,1,2019,0.0004335540970862175
Wassa Amenfi Central,1,2020,8.97008476730105e-05
West Gonja,1,2015,0.0
West Gonja,1,2016,0.0
West Gonja,1,2017,0.0
West Gonja,1,2018,0.0
West Gonja,1,2019,0.0
West Gonja,1,2020,0.0
Mion,1,2015,0.0
Mion,1,2016,0.0
Mion,1,2017,0.0
Mion,1,2018,0.0
Mion,1,2019,0.0
Mion,1,2020,0.0
Wa East,1,2015,0.0
Wa East,1,2016,0.0
Wa East,1,2017,0.0
Wa East,1,2018,0.0
Wa East,1,2019,0.0
Wa East,1,2020,0.00018414410901331253
Tamale North Sub Metro,1,2015,0.0
Tamale North Sub Metro,1,2016,0.0
Tamale North Sub Metro,1,2017,0.0
Tamale North Sub Metro,1,2018,0.0
Tamale North Sub Metro,1,2019,0.0
Tamale North Sub Metro,1,2020,2.9767072656463177e-05
Garu Tempane,1,2015,0.0
Garu Tempane,1,2016,0.0
Garu Tempane,1,2017,0.0
Garu Tempane,1,2018,0.0
Garu Tempane,1,2019,0.0
Garu Tempane,1,2020,0.0
Jirapa,1,2015,0.0
Jirapa,1,2016,6.399044409368201e-05
Jirapa,1,2017,6.399044409368201e-05
Jirapa,1,2018,6.399044409368201e-05
Jirapa,1,2019,6.399044409368201e-05
Jirapa,1,2020,0.00012798088818736402
Mamprusi East,1,2015,0.0
Mamprusi East,1,2016,0.0
Mamprusi East,1,2017,0.0
Mamprusi East,1,2018,0.0
Mamprusi East,1,2019,0.0
Mamprusi East,1,2020,0.0
Nandom,1,2015,0.0
Nandom,1,2016,0.0
Nandom,1,2017,0.0
Nandom,1,2018,0.0
Nandom,1,2019,0.0
Nandom,1,2020,0.0
Wassa Amenfi East,1,2015,0.00038301280191274266
Wassa Amenfi East,1,2016,0.0009178652600561344
Wassa Amenfi East,1,2017,0.0002911170387443734
Wassa Amenfi East,1,2018,0.00039557507562966687
Wassa Amenfi East,1,2019,0.00017409672814215578
Wassa Amenfi East,1,2020,0.00010445803688529348
Talensi,1,2015,0.0
Talensi,1,2016,0.0
Talensi,1,2017,0.0
Talensi,1,2018,0.0
Talensi,1,2019,0.0
Talensi,1,2020,9.74184120798831e-05
Ga Central Municipal,0,2015,0.0
Ga Central Municipal,0,2016,6.070949159173542e-05
Ga Central Municipal,0,2017,0.0
Ga Central Municipal,0,2018,0.00012141898318347084
Ga Central Municipal,0,2019,0.0
Ga Central Municipal,0,2020,0.0
Kpone Katamanso,0,2015,0.0
Kpone Katamanso,0,2016,0.0
Kpone Katamanso,0,2017,0.0
Kpone Katamanso,0,2018,0.0
Kpone Katamanso,0,2019,0.0
Kpone Katamanso,0,2020,0.0
Atwima Nwabiagya,0,2015,0.0
Atwima Nwabiagya,0,2016,0.0
Atwima Nwabiagya,0,2017,2.368433518071148e-05
Atwima Nwabiagya,0,2018,0.0
Atwima Nwabiagya,0,2019,0.0
Atwima Nwabiagya,0,2020,0.0
Tarkwa Nsuaem,0,2015,0.0002837047106803003
Tarkwa Nsuaem,0,2016,0.0
Tarkwa Nsuaem,0,2017,0.0
Tarkwa Nsuaem,0,2018,9.456823689343342e-05
Tarkwa Nsuaem,0,2019,0.0
Tarkwa Nsuaem,0,2020,0.0
Adansi South,0,2015,0.0001421841379375717
Adansi South,0,2016,0.0
Adansi South,0,2017,0.0
Adansi South,0,2018,0.0
Adansi South,0,2019,0.0
Adansi South,0,2020,0.0
Ellembelle,0,2015,0.0
Ellembelle,0,2016,0.0006933610677760443
Ellembelle,0,2017,0.0
Ellembelle,0,2018,0.010400416016640664
Ellembelle,0,2019,0.0
Ellembelle,0,2020,0.00011556017796267407
Effutu,0,2015,0.0
Effutu,0,2016,0.0
Effutu,0,2017,0.0
Effutu,0,2018,0.00038898208251282433
Effutu,0,2019,0.0
Effutu,0,2020,0.0007779641650256485
Tatale,0,2015,0.0
Tatale,0,2016,0.0
Tatale,0,2017,0.0
Tatale,0,2018,0.0
Tatale,0,2019,0.0
Tatale,0,2020,0.0
Wassa Amenfi West,0,2015,6.578226071702664e-05
Wassa Amenfi West,0,2016,0.00017541936191207104
Wassa Amenfi West,0,2017,0.0001096371011950444
Wassa Amenfi West,0,2018,0.0001096371011950444
Wassa Amenfi West,0,2019,0.00017541936191207104
Wassa Amenfi West,0,2020,0.0
Assin North,0,2015,0.0
Assin North,0,2016,0.0
Assin North,0,2017,0.0
Assin North,0,2018,0.0
Assin North,0,2019,0.0
Assin North,0,2020,0.0
Birim North,0,2015,0.0
Birim North,0,2016,0.00013727560718057022
Birim North,0,2017,0.0
Birim North,0,2018,0.00013727560718057022
Birim North,0,2019,0.0
Birim North,0,2020,0.0
Ejisu Juaben,0,2015,0.0
Ejisu Juaben,0,2016,0.0001266194172720359
Ejisu Juaben,0,2017,7.089048280926279e-05
Ejisu Juaben,0,2018,6.966116807846634e-05
Ejisu Juaben,0,2019,5.9362242444904835e-05
Ejisu Juaben,0,2020,0.0
Sissala East,0,2015,0.0
Sissala East,0,2016,0.0
Sissala East,0,2017,0.0
Sissala East,0,2018,0.0012473688313713262
Sissala East,0,2019,0.0
Sissala East,0,2020,0.0
Bunkpurugu Yonyo,0,2015,0.0
Bunkpurugu Yonyo,0,2016,0.0
Bunkpurugu Yonyo,0,2017,0.0
Bunkpurugu Yonyo,0,2018,0.0
Bunkpurugu Yonyo,0,2019,0.0
Bunkpurugu Yonyo,0,2020,0.0
Sissala  West,0,2015,0.0
Sissala  West,0,2016,0.0
Sissala  West,0,2017,0.0
Sissala  West,0,2018,0.0
Sissala  West,0,2019,0.0
Sissala  West,0,2020,0.0
Agona East,0,2015,0.00024021138601969727
Agona East,0,2016,0.0
Agona East,0,2017,0.00012010569300984866
Agona East,0,2018,0.0
Agona East,0,2019,0.00024021138601969727
Agona East,0,2020,0.00012010569300984866
Asante Akim Central Municipal,0,2015,0.0
Asante Akim Central Municipal,0,2016,0.00016170703284655564
Asante Akim Central Municipal,0,2017,0.00016170703284655564
